rating,keyword,relevance,bucket
3, Little Woody, 0.649985, 2
3, kinks, 0.361163, 3
3, Needs, 0.278385, 3
3, Uptown joint, 0.712518, 6
3, youngest person, 0.700531, 6
3, New place, 0.743933, 7
3, moderate prices, 0.739378, 7
3, air mid patio, 0.95589, 8
3, fun game area, 0.881865, 8
4, Dear Linger Longer, 0.586547, 0
4, mean old fashion, 0.322707, 0
4, neighborhood comfort zone, 0.585251, 1
4, faceless club, 0.412273, 1
4, 16th St. bar, 0.369829, 2
4, credit card, 0.35209, 2
4, comfort zone, 0.634399, 3
4, dark intimate bar, 0.36538, 3
4, old pool room, 0.559856, 6
4, new concept, 0.248872, 6
4, Linger Longer Lounge, 0.991415, 7
4, game room, 0.499901, 7
4, house salad, 0.493844, 8
4, fairly vigorous tipper, 0.384494, 8
4, Little Woody, 0.346678, 9
4, classic rock playing, 0.342804, 9
5, garlic pretzel twists, 0.930885, 0
5, star, 0.291403, 0
5, Thursday night, 0.63716, 2
5, people park, 0.612395, 2
5, urban taco, 0.672068, 3
5, La Donna, 0.731311, 7
5, Togo, 0.329285, 7
5, music selection, 0.670321, 8
5, place ice, 0.653986, 8
5, GREAT COCKTAIL, 0.732297, 9
5, Great ambiance, 0.645728, 9
